"X2009.5.Year","X2009.5.Month","X2009.5.Day","X2009.5.Lat","X2009.5.Lon","X2009.5.Depth","X2009.5.Bottom_temp","X2009.5.Bottom_sal","X2009.5.Bottom_DO","X2009.5.Surface_temp","X2009.5.Surface_sal","X2009.5.Surface_DO","X2009.5.pH","X2009.5.Data_source"
2009,5,1,29.11805,-83.045983,4,24,30,"5.8",24,29.9,5.8,7.9,"FWC"
2009,5,1,29.132067,-83.161233,5.5,24,33.7,"6.4",24,33.7,6.4,8,"FWC"
2009,5,1,29.089617,-83.104783,2.9,24,32.8,"6.3",24.4,32.4,6.4,8,"FWC"
2009,5,1,29.097467,-83.072133,0.5,24.2,30.7,"7.1",24.2,30.7,7,8.1,"FWC"
2009,5,1,29.095667,-83.0663,0.2,24.7,30.6,"7.4",NA,NA,NA,8.1,"FWC"
2009,5,1,29.1003,-83.047117,5,24.4,31.8,"6",24.5,31.8,6.1,8,"FWC"
2009,5,1,29.09655,-83.03545,0.5,25.5,31.8,"8.2",25.5,31.8,8.1,8.1,"FWC"
2009,5,1,29.096583,-83.03545,0.5,25.7,31.8,"8.4",25.7,31.8,8.3,8.2,"FWC"
2009,5,1,29.095033,-83.032633,0.3,25.9,31.7,"8.2",25.9,31.7,8.2,8.1,"FWC"
2009,5,1,29.1107,-82.9762,2.2,24.7,32.4,"6.3",25.4,32.2,6.5,8,"FWC"
2009,5,1,29.163933,-82.999133,0.4,26.7,27.9,"7.4",26.5,27.9,7.3,8,"FWC"
2009,5,1,29.167567,-82.997983,0.5,26.5,27.9,"7.4",26.6,27.9,7.4,7.9,"FWC"
2009,5,2,29.129383,-83.06955,0.6,25.6,30.8,"5.6",25.6,30.8,5.6,8,"FWC"
2009,5,2,29.143333,-83.064983,0.4,26.1,31.3,"5.8",26.1,31.3,5.8,8,"FWC"
2009,5,2,29.155,-83.064667,1.6,25.8,30.7,"6",25.8,30.7,6,8,"FWC"
2009,5,2,29.10115,-83.0753,1,25.5,31.9,"5.5",25.5,31.9,5.5,8,"FWC"
2009,5,2,29.101933,-83.061083,1,26.1,31.9,"6.2",26.1,31.9,6.5,8.1,"FWC"
2009,5,2,29.09595,-83.063483,0.7,26.7,31.9,"6.5",26.7,31.9,6.5,8.1,"FWC"
2009,5,2,29.12375,-83.034583,0.5,27.1,31,"6.9",27.1,31,6.9,8.1,"FWC"
2009,5,2,29.137983,-83.0268,0.6,27.1,29.5,"6",27.1,29.5,6.1,7.9,"FWC"
2009,5,3,29.299533,-83.16225,3.7,22.5,0.1,"3.9",27.9,0.1,4.4,7.1,"FWC"
2009,5,3,29.287017,-83.222483,4.2,25.8,28.9,"5.4",26.3,21.9,6.4,8,"FWC"
2009,5,3,29.279617,-83.2422,4.6,25.4,30.6,"5.8",26.2,27.9,6.4,8,"FWC"
2009,5,3,29.2529,-83.21705,4.9,25.7,31.8,"5.6",26.4,29,6.3,8,"FWC"
2009,5,3,29.219583,-83.143033,2.2,26.8,29.6,"6.3",26.9,29.6,6.4,8.1,"FWC"
2009,5,3,29.275367,-83.114567,2.3,23.1,0.1,"4.1",24.1,0.2,4.5,7.4,"FWC"
2009,5,3,29.28515,-83.11295,4.6,22.7,0.1,"3.7",24.2,0.1,4.4,7.1,"FWC"
2009,5,3,29.3262,-83.104367,6.3,22.7,0.1,"3.5",22.8,0.1,3.7,7,"FWC"
2009,5,3,29.322567,-83.132283,3.7,23,0.1,"3.6",23,0.1,3.8,7,"FWC"
2009,5,3,29.321283,-83.143717,5.7,23,0.1,"3.6",23,0.1,3.8,7,"FWC"
2009,5,4,29.238933,-83.0971,0.6,26.8,3.2,"6.2",26.9,3.2,6.5,7.7,"FWC"
