"X2000.6.Year","X2000.6.Month","X2000.6.Day","X2000.6.Lat","X2000.6.Lon","X2000.6.Depth","X2000.6.Bottom_temp","X2000.6.Bottom_sal","X2000.6.Bottom_DO","X2000.6.Surface_temp","X2000.6.Surface_sal","X2000.6.Surface_DO","X2000.6.pH","X2000.6.Data_source"
2000,6,6,29.0955,-83.028167,0.4,27.7,32.5,"5.1",NA,NA,NA,7.9,"FWC"
2000,6,6,29.095333,-83.024167,0.4,28.1,32.4,"5.6",NA,NA,NA,8.1,"FWC"
2000,6,6,29.1075,-83.094333,0.3,28.9,32.4,"7.2",NA,NA,NA,8.1,"FWC"
2000,6,6,29.126,-83.048167,0.3,28.6,29,"6.4",NA,NA,NA,8.1,"FWC"
2000,6,6,29.127667,-83.0535,0.3,28.3,28.8,"5.5",NA,NA,NA,7.8,"FWC"
2000,6,6,29.134333,-83.0365,0.3,28,29.3,"7.3",NA,NA,NA,8,"FWC"
2000,6,7,29.3475,-83.165167,0.3,25.6,26.1,"4.2",NA,NA,NA,7.4,"FWC"
2000,6,7,29.343333,-83.176333,0.2,25.4,28.2,"5.8",NA,NA,NA,7.7,"FWC"
2000,6,7,29.307667,-83.174833,0.2,26.7,16.1,"7.3",NA,NA,NA,8.1,"FWC"
2000,6,7,29.354167,-83.291,1,27.7,37.2,"7.1",27.7,37.2,6.6,8.6,"FWC"
2000,6,7,29.287167,-83.153,0.3,28.7,12.7,"9.3",NA,NA,NA,8.2,"FWC"
2000,6,7,29.297667,-83.121333,1.6,28.9,4.9,"7.2",29,4.5,7.1,8.1,"FWC"
2000,6,7,29.278667,-83.1255,0.3,30.2,8.4,"7.6",NA,NA,NA,8.2,"FWC"
2000,6,8,29.288167,-83.101167,0.3,27.7,1.1,"7.3",NA,NA,NA,8.2,"FWC"
2000,6,8,29.292333,-83.096,1.9,27.5,4,"5",27.6,3.9,5.1,7.8,"FWC"
2000,6,8,29.266,-83.079167,0.3,25.5,9,"5.5",NA,NA,NA,7.9,"FWC"
2000,6,8,29.262667,-83.080167,0.4,26,9.7,"5.8",NA,NA,NA,8,"FWC"
2000,6,8,29.276333,-83.089333,0.4,27.2,3.5,"6.4",NA,NA,NA,8.2,"FWC"
2000,6,8,29.268333,-83.107333,0.3,28.3,8.5,"7.8",NA,NA,NA,8.2,"FWC"
2000,6,8,29.247,-83.1745,0.3,28.4,30.3,"10.5",NA,NA,NA,8.4,"FWC"
2000,6,8,29.242,-83.155167,1,27.5,28.8,"9.1",28.3,24.7,9.8,8.3,"FWC"
2000,6,8,29.271,-83.105667,0.3,28.6,7.5,"7",NA,NA,NA,8.1,"FWC"
2000,6,9,29.242667,-83.054333,0.3,25.9,17.6,"3.8",NA,NA,NA,7.5,"FWC"
2000,6,9,29.236,-83.055167,0.3,25.9,17.9,"3.8",NA,NA,NA,7.7,"FWC"
2000,6,9,29.198667,-83.0785,0.2,26.9,23.2,"6.2",NA,NA,NA,8.2,"FWC"
2000,6,9,29.155667,-83.067333,0.2,26.8,25.6,"5.9",NA,NA,NA,8,"FWC"
2000,6,9,29.174667,-83.0795,1.3,27.3,27.2,"5.5",27.5,25.2,7.8,8.3,"FWC"
2000,6,9,29.158833,-83.0755,1.1,27.7,27.7,"6.3",27.8,27.6,6.8,8.3,"FWC"
2000,6,12,29.366,-83.203,1,26.3,33.6,"3.1",26.6,33.2,4.4,7.8,"FWC"
2000,6,12,29.345,-83.176,1.1,27.4,29.8,"6.2",27.4,29.6,6.1,8.1,"FWC"
2000,6,12,29.290333,-83.17,1.1,27.6,22,"6.6",27.6,21.9,6.6,8.2,"FWC"
2000,6,12,29.2885,-83.144667,0.4,28.1,17.3,"7.3",NA,NA,NA,8.3,"FWC"
2000,6,13,29.274,-83.109,1.8,28.2,16.9,"4",28.2,5.8,8.5,7.9,"FWC"
2000,6,13,29.254167,-83.0775,1.3,28.6,20.3,"6.4",28.6,20.3,6.3,8.1,"FWC"
2000,6,13,29.216667,-83.073,1.2,28.9,26.7,"6.3",29.1,26.7,6.2,8.2,"FWC"
2000,6,13,29.217333,-83.088167,1.1,29,28.5,"7.3",29.6,28.2,7.2,8.3,"FWC"
2000,6,14,29.147667,-83.057333,1.2,28,31.4,"4.7",28,31.3,4.6,8.1,"FWC"
2000,6,14,29.095333,-83.065667,0.4,28.3,34,"6.7",NA,NA,NA,8.5,"FWC"
2000,6,14,29.097333,-83.034667,1,28.9,34,"6.6",28.9,34,6.5,8.4,"FWC"
2000,6,14,29.122333,-83.030833,1.1,29.9,32.7,"6.1",29.9,32.7,6.2,8.4,"FWC"
2000,6,14,29.1265,-83.033833,1.4,29,32.8,"7",29.2,32.7,7,8.5,"FWC"
2000,6,15,29.163167,-82.980667,1.1,28.4,30.7,"4.7",28.4,30.7,4.6,8,"FWC"
2000,6,15,29.157667,-82.998167,0.3,28.9,30.9,"5.7",NA,NA,NA,8.2,"FWC"
2000,6,15,29.1645,-82.999167,1.4,29.1,30.6,"5.9",29.1,30.6,5.9,8.3,"FWC"
2000,6,15,29.1405,-83.022,1.4,29.4,32.1,"6.1",29.4,32.1,6.2,8.4,"FWC"
2000,6,15,29.139667,-83.0165,2.3,29.6,32.4,"6.2",29.8,32.2,6.5,8.5,"FWC"
2000,6,28,29.25666667,-83.1,0.2,NA,NA,NA,28.5,30.9,5.3,7.8,"FDACS"
2000,6,28,29.34016667,-83.1715,0.2,NA,NA,NA,27.5,15.2,6,7.9,"FDACS"
2000,6,28,29.3285,-83.15416667,0.3,27.5,9.6,"5.6",27.2,7.6,6.1,7.9,"FDACS"
2000,6,28,29.3235,-83.157,0.3,27.7,13.9,"5.3",27.1,7.1,6.2,7.9,"FDACS"
2000,6,28,29.2995,-83.18833333,0.3,29.3,29.4,"4.5",29.2,29.5,4.8,7.9,"FDACS"
2000,6,28,29.3615,-83.18983333,0.3,27.9,20.8,"6.2",27.7,20.5,6.2,8,"FDACS"
2000,6,28,29.34766667,-83.182,0.3,27.7,20,"6",27.6,19.9,5.9,7.9,"FDACS"
2000,6,28,29.2245,-83.0795,0.3,28,30.2,"5.7",27.8,29.3,5.9,7.8,"FDACS"
2000,6,28,29.2245,-83.07983333,0.3,28,30.2,"5.7",27.8,29.3,5.9,7.8,"FDACS"
2000,6,28,29.1665,-83.0315,0.4,27.7,20.7,"5.4",27.6,20.4,5.5,7.9,"FDACS"
2000,6,28,29.362,-83.1815,0.4,27.7,20.7,"5.4",27.6,20.4,5.5,7.9,"FDACS"
2000,6,28,29.3445,-83.19233333,0.4,28.4,24.1,"4.8",28.3,23.6,4.9,7.9,"FDACS"
2000,6,28,29.34333333,-83.192,0.4,28.5,26.4,"5.2",28.5,26.5,5.4,7.9,"FDACS"
2000,6,28,29.243,-83.0945,0.4,28.8,31.4,"5.4",28.5,31.6,5.6,7.9,"FDACS"
2000,6,28,29.24483333,-83.074,0.4,28.4,29.6,"5.4",28.4,28.6,5.7,7.8,"FDACS"
2000,6,28,29.27666667,-83.10716667,0.4,29,28.3,"4.8",28.9,28.4,5.3,7.8,"FDACS"
2000,6,28,29.23733333,-83.08233333,0.4,20.5,30.5,"4.9",28.5,30.6,5.2,7.8,"FDACS"
2000,6,28,29.27,-83.14333333,0.4,28.5,27.9,"4.8",28.4,28.1,5.2,7.8,"FDACS"
2000,6,28,29.23066667,-83.07566667,0.4,28.4,30.1,"5.5",28.3,30.2,5.7,7.8,"FDACS"
2000,6,28,29.355,-83.17333333,0.5,27.1,18.4,"4.4",27.1,18.5,5.2,7.6,"FDACS"
2000,6,28,29.36133333,-83.213,0.5,28.4,24.9,"5.5",28.3,25,5.6,7.9,"FDACS"
2000,6,28,29.24816667,-83.15416667,0.5,28.8,32.8,"5.1",28.6,32.9,5.4,7.9,"FDACS"
2000,6,28,29.258,-83.11283333,0.5,28.5,30.9,"4.9",28.3,31.1,5.4,7.8,"FDACS"
2000,6,28,29.279,-83.0885,0.5,28.6,20.8,"4.7",28.8,17.3,5.3,7.6,"FDACS"
2000,6,28,29.23116667,-83.0855,0.5,28.5,30.6,"4.8",28.3,30.9,5.3,7.8,"FDACS"
2000,6,28,29.249,-83.1705,0.5,29.3,33,"6",29.1,33.3,6,8,"FDACS"
2000,6,28,29.24033333,-83.16333333,0.5,29.2,32.7,"5.9",29.1,32.8,5.9,8,"FDACS"
2000,6,28,29.2965,-83.19033333,0.5,28.9,30.2,"4.9",28.8,30.4,5.4,7.9,"FDACS"
2000,6,28,29.36566667,-83.2,0.5,27.9,20.8,"6.4",27.8,20.9,6.3,8,"FDACS"
2000,6,28,29.26833333,-83.13233333,0.5,28.6,29.6,"4.8",28.6,29.7,5,7.8,"FDACS"
2000,6,28,29.31516667,-83.16333333,0.6,27.6,15.6,"5.6",26.9,7.2,6.4,7.9,"FDACS"
2000,6,28,29.34633333,-83.174,0.6,27.5,18.2,"5.9",27.4,17.3,5.9,7.9,"FDACS"
2000,6,28,29.34933333,-83.21066667,0.6,28.5,25.9,"5.5",28.5,25.9,5.6,7.9,"FDACS"
2000,6,28,29.32,-83.19166667,0.6,28.6,27.6,"4.9",28.4,26.9,5.3,7.9,"FDACS"
2000,6,28,29.31866667,-83.19866667,0.6,28.8,29.2,"5.1",28.7,29.3,5.3,7.9,"FDACS"
2000,6,28,29.25483333,-83.14583333,0.6,28.4,31.9,"4.8",28.2,32.2,5.4,7.8,"FDACS"
2000,6,28,29.16333333,-83.04666667,0.6,28.4,31.9,"4.8",28.2,32.2,5.4,7.8,"FDACS"
2000,6,28,29.25366667,-83.10166667,0.6,28.7,31.1,"5.4",28.7,31.2,5.5,7.9,"FDACS"
2000,6,28,29.25633333,-83.07833333,0.6,28.7,26.8,"5.5",28.6,25.9,5.8,7.8,"FDACS"
2000,6,28,29.2745,-83.17333333,0.6,28.6,29.2,"5.1",28.4,26.1,5.6,7.8,"FDACS"
2000,6,28,29.305,-83.17633333,0.7,27.8,19.4,"4.6",27.8,14.2,5.1,7.7,"FDACS"
2000,6,28,29.23566667,-83.07616667,0.7,28.4,29,"5.4",28.3,27.5,5.9,7.8,"FDACS"
2000,6,28,29.13683333,-83.03066667,0.8,28.5,27.7,"5.4",28.5,27.8,5.5,7.9,"FDACS"
2000,6,28,29.2635,-83.171,0.8,28.6,32.2,"4.8",28.4,32.1,5.3,7.8,"FDACS"
2000,6,28,29.2875,-83.1655,0.8,28.1,21.2,"5.2",27.8,20.5,6,7.7,"FDACS"
2000,6,28,29.329,-83.17383333,0.8,27.9,19.6,"5.4",27.3,13.4,5.9,7.8,"FDACS"
2000,6,28,29.23133333,-83.12866667,0.8,28.6,31.9,"4.8",28.5,32.1,5.4,7.8,"FDACS"
2000,6,28,29.3085,-83.16416667,1,27.8,14.3,"4.9",27.2,5.1,6.5,7.9,"FDACS"
2000,6,28,29.31016667,-83.19933333,1,28.9,30.6,"5.2",28.9,29.8,5.5,7.9,"FDACS"
2000,6,28,29.30283333,-83.15566667,1.2,27.7,17.1,"4.9",27.7,15.7,5.1,7.7,"FDACS"
2000,6,28,29.315,-83.11966667,1.8,28,9.6,"5.4",28.1,5.1,6.1,7.8,"FDACS"
2000,6,28,29.32516667,-83.139,2,27.7,10.8,"5.2",28.3,6,6.3,7.7,"FDACS"
2000,6,28,29.2775,-83.11216667,2.3,28.8,26.2,"4.9",28.8,21.3,5.8,7.7,"FDACS"
2000,6,26,29.275,-83.16167,1.1,29.6,18.8,"8.41",NA,NA,NA,NA,"Frazier"
2000,6,26,29.30833,-83.14667,1.2,28,6.4,"4.24",NA,NA,NA,NA,"Frazier"
2000,6,26,29.30417,-83.176,1.4,27.8,17.2,"4.66",NA,NA,NA,NA,"Frazier"
2000,6,26,29.34167,-83.19167,1.8,28.5,26.9,"4.94",NA,NA,NA,NA,"Frazier"
2000,6,26,29.24167,-83.14167,2,30.2,28.4,"6.12",NA,NA,NA,NA,"Frazier"
2000,6,26,29.24167,-83.20833,4.1,29.3,33.58,"5.61",NA,NA,NA,NA,"Frazier"
2000,6,26,29.275,-83.225,4.2,29.2,32.4,"5.43",NA,NA,NA,NA,"Frazier"
2000,6,26,29.20833,-83.19167,4.5,29.6,34.3,"5.32",NA,NA,NA,NA,"Frazier"
2000,6,26,29.30833,-83.24167,4.7,29.3,33,"5.43",NA,NA,NA,NA,"Frazier"
2000,6,26,29.32723,-83.10382,6.1,28.1,0.2,"8.19",NA,NA,NA,NA,"Frazier"
