"X2011.3.Year","X2011.3.Month","X2011.3.Day","X2011.3.Lat","X2011.3.Lon","X2011.3.Depth","X2011.3.Bottom_temp","X2011.3.Bottom_sal","X2011.3.Bottom_DO","X2011.3.Surface_temp","X2011.3.Surface_sal","X2011.3.Surface_DO","X2011.3.pH","X2011.3.Data_source"
2011,3,1,29.1002,-83.042,0.4,21.3,29.9,"7.1",21.4,29.8,7.1,7.8,"FWC"
2011,3,1,29.130266,-83.05685,0.8,21.9,27.7,"7.6",21.9,27.7,7.6,7.9,"FWC"
2011,3,1,29.129166,-83.049666,0.3,21.9,27.5,"7.1",21.9,27.5,7.1,7.8,"FWC"
2011,3,1,29.121383,-83.033233,0.5,21.9,28.8,"7.8",21.9,28.8,7.9,7.9,"FWC"
2011,3,1,29.139116,-83.015933,0.4,22.6,27.1,"7.3",22.6,27.2,7.3,7.8,"FWC"
2011,3,1,29.147216,-83.016816,0.3,23,27.1,"8.2",23,27.1,8.2,7.8,"FWC"
2011,3,1,29.163983,-83.0013,0.5,23.3,26.3,"8.6",23.5,26.2,8.6,7.8,"FWC"
2011,3,1,29.164183,-83.0028,0.5,22.9,26.3,"7.9",22.9,26.3,8,7.8,"FWC"
2011,3,2,29.317816,-83.170566,0.5,19,17.6,"8.9",19,17.3,8.9,7.9,"FWC"
2011,3,2,29.343483,-83.171883,0.4,18.7,17.6,"8.8",18.7,17.6,8.8,7.9,"FWC"
2011,3,2,29.346683,-83.159983,0.2,18.8,11.9,"9.1",NA,NA,NA,7.7,"FWC"
2011,3,2,29.359683,-83.1887,0.7,19.4,22.5,"9.2",19.5,21.9,9.2,8.1,"FWC"
2011,3,2,29.327933,-83.176766,1.3,19.8,23,"9.5",20,21.2,10.4,8.1,"FWC"
2011,3,2,29.327783,-83.154516,0.2,20.2,5.6,"8.8",NA,NA,NA,7.8,"FWC"
2011,3,2,29.332566,-83.149466,0.3,20.6,3.8,"8.8",20.6,3.8,8.8,7.8,"FWC"
2011,3,2,29.308366,-83.16325,0.5,20.9,3.5,"9.4",20.8,3.9,9.4,7.9,"FWC"
2011,3,3,29.285433,-83.103516,0.4,21.3,0.9,"7.8",21.4,0.9,7.8,7.7,"FWC"
2011,3,3,29.271016,-83.105733,0.2,21.5,1.2,"9.1",NA,NA,NA,7.9,"FWC"
