"","month(NEWDATE)","year(NEWDATE)","Salinity.x","Reference"
"200",2,2008,0.2,7
"201",3,2008,0.2,4
"202",5,2008,0.2,14
"203",8,2008,0.2,8
"204",9,2008,0.2,2
"205",10,2008,0.2,22
"206",11,2008,0.2,3
"207",12,2008,0.2,2
"208",1,2009,0.2,12
"209",2,2009,0.2,18
"210",3,2009,0.2,14
"211",4,2009,0.2,5
"212",5,2009,0.2,6
"213",7,2009,0.2,2
"214",8,2009,0.2,21
"215",9,2009,0.2,2
"216",10,2009,0.2,12
"217",11,2009,0.2,27
"218",12,2009,0.2,15
"219",1,2010,0.2,2
"220",2,2010,0.2,44
"221",3,2010,0.2,5
"222",5,2010,0.2,5
"223",6,2010,0.2,27
"224",7,2010,0.2,14
"225",8,2010,0.2,32
"226",9,2010,0.2,10
"227",10,2010,0.2,15
"228",11,2010,0.2,20
"229",12,2010,0.2,1
"230",1,2011,0.2,24
"231",2,2011,0.2,7
"232",3,2011,0.2,11
"233",4,2011,0.2,9
"234",5,2011,0.2,11
"235",6,2011,0.2,3
"236",7,2011,0.2,22
"237",8,2011,0.2,4
"238",9,2011,0.2,5
"239",10,2011,0.2,18
"240",12,2011,0.2,6
"241",1,2012,0.2,2
"242",3,2012,0.2,7
"243",4,2012,0.2,3
"244",5,2012,0.2,25
"245",6,2012,0.2,16
"246",7,2012,0.2,4
"247",8,2012,0.2,23
"248",9,2012,0.2,6
"249",10,2012,0.2,14
"250",11,2012,0.2,9
"251",12,2012,0.2,8
"252",1,2013,0.2,32
"253",2,2013,0.2,4
"254",3,2013,0.2,2
"255",4,2013,0.2,2
"256",5,2013,0.2,3
"257",6,2013,0.2,3
"258",7,2013,0.2,2
"259",8,2013,0.2,5
"260",9,2013,0.2,5
"261",10,2013,0.2,17
"262",11,2013,0.2,26
"263",12,2013,0.2,28
"264",1,2014,0.2,19
"265",2,2014,0.2,9
"266",3,2014,0.2,5
"267",4,2014,0.2,3
"268",5,2014,0.2,4
"269",7,2014,0.2,32
"270",8,2014,0.2,9
"271",9,2014,0.2,22
"272",10,2014,0.2,8
"273",11,2014,0.2,36
"274",12,2014,0.2,16
"275",1,2015,0.2,2
"276",2,2015,0.2,11
"277",3,2015,0.2,3
"278",4,2015,0.2,4
"279",5,2015,0.2,2
"280",6,2015,0.2,18
"281",7,2015,0.2,17
"282",8,2015,0.2,5
"283",9,2015,0.2,14
"284",10,2015,0.2,9
"285",11,2015,0.2,24
"286",12,2015,0.2,6
"287",1,2016,0.2,3
"288",2,2016,0.2,4
"289",4,2016,0.2,8
"290",5,2016,0.2,14
"291",6,2016,0.2,17
"292",7,2016,0.2,24
"293",8,2016,0.2,8
"294",9,2016,0.2,9
"295",10,2016,0.2,25
"296",11,2016,0.2,26
"297",12,2016,0.2,18
"298",8,1996,0.3,1
"299",11,1997,0.3,1
"300",12,1997,0.3,2
"301",5,1998,0.3,2
"302",10,1998,0.3,1
"303",3,1999,0.3,1
"304",4,1999,0.3,1
"305",2,2001,0.3,4
"306",4,2001,0.3,2
"307",5,2001,0.3,4
"308",6,2001,0.3,4
"309",7,2001,0.3,3
"310",8,2001,0.3,3
"311",9,2001,0.3,11
"312",11,2001,0.3,8
"313",12,2001,0.3,5
"314",3,2002,0.3,1
"315",6,2002,0.3,2
"316",8,2002,0.3,2
"317",11,2002,0.3,3
"318",12,2002,0.3,6
"319",1,2003,0.3,1
"320",2,2003,0.3,5
"321",3,2003,0.3,2
"322",4,2003,0.3,2
"323",5,2003,0.3,1
