"","Reference","Depth","Beg_end","Temperature","Conductivity","pH","Salinity","DissolvedO2","Flag"
"1","CKM1996060601",0.6,"B",27.5,43.5,7.7,28.1,5.1,NA
"2","CKM1996060602",0.6,"B",27.6,46.6,7.7,30.3,5.4,NA
"3","CKM1996060603",0.5,"B",28.3,46.3,7.6,30,4.7,NA
"4","CKM1996060604",0.2,"B",30.3,44.2,7.6,28.8,6,NA
"5","CKM1996060605",0.5,"B",29.8,46,7.7,29.8,6.8,NA
"6","CKM1996060606",0.2,"B",33.1,43.8,7.8,28.2,8.7,NA
"7","CKM1996061101",0.9,"B",25.9,46.3,7.7,30.1,3.9,NA
"8","CKM1996061102",0.4,"B",26.8,47.3,7.9,30.8,6.7,NA
"9","CKM1996061103",0.5,"B",26.9,44,7.6,28.4,4.8,NA
"10","CKM1996061104",0.3,"B",27.5,44.8,7.6,29,5,NA
"11","CKM1996061105",0.6,"B",27.3,46.8,7.5,30.5,7,NA
"12","CKM1996061106",0.6,"B",27.1,46.8,NA,30.4,7,NA
"13","CKM1996061201",0.6,"B",28.1,41.2,7.7,26.3,6.3,NA
"14","CKM1996061202",0.6,"B",28.8,40.9,NA,26.1,7.1,NA
"15","CKM1996061203",0.3,"B",30.2,42,7.9,27,8,NA
"16","CKM1996061204",0.6,"B",29.2,12.6,8,7,8.2,NA
"17","CKM1996061205",0.5,"B",31.4,35,8,22,8.8,NA
"18","CKM1996061301",0.2,"B",28.6,46.8,8,30.5,7.1,NA
"19","CKM1996061301",2.4,"B",28.7,46.7,7.6,30.4,7,NA
"20","CKM1996061302",0.2,"B",28.4,46.9,7.9,30.6,6.7,NA
"21","CKM1996061302",2.7,"B",28.8,47.1,7.9,30.6,6.6,NA
"22","CKM1996061303",0.2,"B",28.8,43.2,7.9,27.8,7.1,NA
"23","CKM1996061303",3.1,"B",28.8,43.4,7.9,28,6.9,NA
"24","CKM1996061304",0.2,"B",28.7,48.6,7.1,31.7,6.6,NA
"25","CKM1996061304",4.6,"B",28.7,48.7,7.6,31.8,6.7,NA
"26","CKM1996061305",0.2,"B",28.6,48.4,7.9,31.6,6.7,NA
"27","CKM1996061305",4.8,"B",28.5,48.7,NA,31.8,6.4,NA
"28","CKM1996061306",0.2,"B",29.3,50,NA,32.7,6.6,NA
"29","CKM1996061306",6,"B",28.8,49.9,NA,32.7,6.4,NA
"30","CKM1996061307",0.2,"B",29.5,49.6,NA,32.5,6.5,NA
"31","CKM1996061307",5.6,"B",28.7,49.6,NA,32.5,7,NA
"32","CKM1996061308",0.6,"B",29.8,48.3,7.3,31.5,7.4,NA
"33","CKM1996061309",1,"B",29.7,48.4,7.4,31.6,7.5,NA
"34","CKM1996061701",0.6,"B",27.3,42.9,NA,27.6,6.1,NA
"35","CKM1996061702",0.4,"B",28.5,47.4,NA,30.9,7.6,NA
"36","CKM1996061703",0.3,"B",29.1,48,NA,31.2,7.8,NA
"37","CKM1996061704",0.2,"B",29.4,50,NA,32.8,6.7,NA
"38","CKM1996061704",4.2,"B",28.9,50.4,NA,33,6.8,NA
"39","CKM1996061705",0.2,"B",29.1,51.7,NA,34,7.1,NA
"40","CKM1996061705",6.8,"B",28.8,51.7,NA,34,7.1,NA
"41","CKM1996061706",0.2,"B",29.5,52.1,NA,34.3,7.1,NA
"42","CKM1996061706",6.3,"B",29,52.2,NA,34.4,7.2,NA
"43","CKM1996061707",0.2,"B",29.5,49.4,NA,32.4,7.7,NA
"44","CKM1996061707",5.6,"B",29.3,49.7,NA,32.5,7.1,NA
"45","CKM1996061801",0.2,"B",28.6,48.9,NA,32,6.7,NA
"46","CKM1996061801",3.4,"B",28.8,49.3,NA,32.3,6.6,NA
"47","CKM1996061802",0.2,"B",27.6,43.4,NA,27.9,6.3,NA
"48","CKM1996061802",3,"B",28.5,49.1,NA,32.2,5.9,NA
"49","CKM1996061803",0.2,"B",27.4,36.5,NA,23.2,6.5,NA
"50","CKM1996061803",1.9,"B",27.9,46.8,NA,30.4,5.9,NA
"51","CKM1996061804",0.2,"B",27.5,32.1,NA,19.4,6.3,NA
"52","CKM1996061804",2.8,"B",28.7,44.5,NA,29.2,4.8,NA
"53","CKM1996061805",0.2,"B",27.5,32.9,NA,20.4,6.5,NA
"54","CKM1996061805",2.1,"B",27.5,33,NA,20.6,6.5,NA
"55","CKM1996061806",0.2,"B",28.8,43.1,NA,27.7,7.9,NA
"56","CKM1996061806",2.4,"B",28.6,43,NA,27.7,7.7,NA
"57","CKM1996061901",0.5,"B",26.9,0.6,NA,0,7.8,NA
"58","CKM1996061902",0.2,"B",27,0.6,NA,0,8,NA
"59","CKM1996061902",2.2,"B",27,0.6,NA,0,8,NA
"60","CKM1996061903",0.5,"B",27.6,16.1,NA,9.2,4.5,NA
"61","CKM1996061904",0.2,"B",28.4,37.3,NA,23.6,7.4,NA
"62","CKM1996061904",2.6,"B",28.4,37.3,NA,23.6,7.2,NA
"63","CKM1996061905",0.4,"B",29.1,41.1,NA,26.2,7,NA
"64","CKM1996070901",0.3,"B",27.5,36,7.9,22.7,4.8,NA
"65","CKM1996070902",0.2,"B",26.7,36.2,7.7,22.9,4.3,NA
"66","CKM1996070903",0.3,"B",27.2,40.3,7.8,25.6,5,NA
"67","CKM1996070904",0.3,"B",26.9,38,7.8,24.1,4.4,NA
"68","CKM1996071001",0.3,"B",26.9,24.6,7.8,14.9,4.8,NA
"69","CKM1996071002",0.6,"B",27.4,26.3,8.1,16,6.6,NA
"70","CKM1996071003",0.2,"B",29.1,17.9,8.4,10.5,8.4,NA
"71","CKM1996071004",0.3,"B",28.8,45.3,8.2,29.4,7.8,NA
"72","CKM1996071005",0.1,"B",31.5,41.1,8.3,26.3,8.1,NA
"73","CKM1996071006",0.1,"B",33,38.8,8.3,24.8,9.4,NA
"74","CKM1996071101",0.2,"B",28.4,41.4,8.2,26.5,6.6,NA
"75","CKM1996071101",2.7,"B",28.3,41.4,8.2,26.6,6.5,NA
"76","CKM1996071102",0.2,"B",28.7,41.6,8.2,26.8,5.9,NA
"77","CKM1996071102",3.1,"B",28.6,44.5,8.2,28.8,5.7,NA
"78","CKM1996071103",0.2,"B",29.2,35,8.2,22,6.9,NA
"79","CKM1996071103",3.4,"B",28.6,43.8,8.2,28.3,6,NA
"80","CKM1996071104",0.2,"B",29.3,47.7,8.2,31.2,6.1,NA
"81","CKM1996071104",5.6,"B",28.4,49.1,8.2,32.5,6.1,NA
"82","CKM1996071105",0.2,"B",29.5,46.9,8.2,29.9,6.9,NA
"83","CKM1996071105",5.7,"B",28.5,49.5,8.2,32.5,5.9,NA
"84","CKM1996071106",0.2,"B",29.7,44.8,8.3,29,7,NA
"85","CKM1996071106",3,"B",29.7,44.8,8.3,29,6.9,NA
"86","CKM1996071201",0.2,"B",28.4,45.4,8.3,29.4,6.2,NA
"87","CKM1996071201",3.7,"B",28.4,45.7,8.3,29.7,5.4,NA
"88","CKM1996071202",0.2,"B",28.9,43.7,8.4,28.3,6.3,NA
"89","CKM1996071202",3.4,"B",28.8,43.8,8.3,28.4,5.9,NA
"90","CKM1996071501",0.2,"B",29.7,48.2,8.4,31.5,6.1,NA
"91","CKM1996071501",5.2,"B",29.7,48.1,8.4,31.5,5.9,NA
"92","CKM1996071502",0.2,"B",29.6,48.2,8.3,31.5,5.8,NA
"93","CKM1996071502",4.8,"B",29.6,48.3,8.3,31.6,5.5,NA
"94","CKM1996071503",0.2,"B",29.9,47,8.3,30.8,6,NA
"95","CKM1996071503",4,"B",29.8,47.2,8.3,30.8,5.6,NA
"96","CKM1996071504",0.2,"B",30.2,45.5,8.4,29.5,6.3,NA
"97","CKM1996071504",2.8,"B",31.2,45.5,8.4,29.5,6.1,NA
"98","CKM1996071505",0.2,"B",30.4,45.3,8.4,29.4,6.4,NA
"99","CKM1996071505",2.1,"B",30.3,45.5,8.4,29.4,6.2,NA
"100","CKM1996071506",0.2,"B",30.4,36.7,8.3,30.5,6.2,NA
"101","CKM1996071506",4.2,"B",30.1,46.7,8.3,30.5,5.9,NA
"102","CKM1996071601",0.3,"B",29.8,46,8.2,30,4.3,NA
"103","CKM1996071602",0.5,"B",29.9,41.1,8.2,26.4,4.7,NA
"104","CKM1996071603",0.6,"B",30.7,39.6,8.2,25.3,5.2,NA
"105","CKM1996071604",0.6,"B",30.7,35.2,8.5,22.1,6.5,NA
"106","CKM1996071701",0.4,"B",28.4,11.1,7.9,6.3,4.6,NA
"107","CKM1996071702",0.4,"B",29,30.5,8.1,19,5.6,NA
"108","CKM1996071703",0.2,"B",30.2,38.6,8.4,24.6,6.6,NA
"109","CKM1996071703",2.7,"B",29.8,42,8.3,27.1,5.1,NA
"110","CKM1996071704",0.2,"B",29.8,40.4,8.4,26.2,5.8,NA
"111","CKM1996071704",3.7,"B",29.8,43.4,8.3,28,5.5,NA
"112","CKM1996071705",0.2,"B",30,48.2,8.4,31.6,5.8,NA
"113","CKM1996071705",4.2,"B",29.9,48.5,8.4,31.6,6,NA
"114","CKM1996071706",0.2,"B",30.2,47,8.4,30.6,5.6,NA
"115","CKM1996071706",2.8,"B",30.2,47,8.4,31,5.7,NA
"116","CKM1996071801",0.5,"B",29.4,45.4,8.3,29.5,5.9,NA
"117","CKM1996071802",0.5,"B",29.9,44.3,8.4,28.6,6.7,NA
"118","CKM1996071803",0.3,"B",32.4,33.6,8.1,21.1,6.9,NA
"119","CKM1996072401",0.3,"B",30.3,22.9,7.5,13.9,5,NA
"120","CKM1996072402",0.4,"B",31,6.2,7.4,3.4,5.1,NA
"121","CKM1996073001",0.5,"B",29.9,44.3,8.1,28.7,5.7,NA
"122","CKM1996073002",0.5,"B",29,5.2,7.6,2.9,4.4,NA
"123","CKM1996073003",1,"B",29.6,9.8,7.7,5.9,5.6,NA
"124","CKM1996080201",0.2,"B",29.3,46.6,8.1,30.4,5.6,NA
"125","CKM1996080201",2.5,"B",29.3,46.6,8.2,30.4,5.3,NA
"126","CKM1996080202",0.2,"B",29.4,46.4,8.2,30.2,5.8,NA
"127","CKM1996080202",3.9,"B",29.4,46.9,8.2,30.4,5.6,NA
"128","CKM1996080501",0.2,"B",28.3,46.7,8.2,30.4,5.7,NA
"129","CKM1996080501",2.8,"B",28.3,46.4,8.2,30.2,5.6,NA
"130","CKM1996080502",0.2,"B",28.7,41.8,8.1,26.9,6,NA
"131","CKM1996080502",3,"B",28.7,42.2,8.1,27.1,5.7,NA
"132","CKM1996080503",0.2,"B",28.8,46.6,8.2,30.3,5.8,NA
"133","CKM1996080503",3.9,"B",28.8,46.7,8.2,30.4,5.5,NA
"134","CKM1996080504",0.2,"B",29.5,46.4,8.2,30.2,6,NA
"135","CKM1996080504",5.2,"B",29.5,46.5,8.2,30.3,5.9,NA
"136","CKM1996080505",0.2,"B",29.7,47.2,8.2,30.8,6,NA
"137","CKM1996080505",5.6,"B",29.6,47.6,8.2,31.1,6,NA
"138","CKM1996080506",0.2,"B",29.9,48.1,8.2,31.4,6.2,NA
"139","CKM1996080506",6.1,"B",29.3,50.3,8.2,33,6.3,NA
"140","CKM1996080507",0.2,"B",29.7,46.6,8.2,30.3,7.4,NA
"141","CKM1996080507",3.9,"B",28.8,47.4,8.2,30.9,6.6,NA
"142","CKM1996080508",0.2,"B",30.8,46.2,8.4,30,9.5,NA
"143","CKM1996080508",1.9,"B",30.7,46.2,8.4,30,9.5,NA
"144","CKM1996080601",0.2,"B",29.6,49.2,8.2,32.2,5.6,NA
"145","CKM1996080601",4.8,"B",29.6,49.3,8.2,32.3,5.9,NA
"146","CKM1996080602",0.2,"B",29.4,46.7,8.3,30.4,6.3,NA
"147","CKM1996080602",4.5,"B",29.4,47.1,8.3,30.7,6,NA
"148","CKM1996080603",1.4,"B",28.3,6.1,7.9,3.4,5.3,NA
"149","CKM1996080604",0.5,"B",30.5,29.3,8.3,18.1,8.7,NA
"150","CKM1996080605",0.2,"B",28.1,0.4,8.1,0.2,6.1,NA
"151","CKM1996080605",1.8,"B",28.1,4.6,8.1,0.3,5.9,NA
"152","CKM1996080606",0.2,"B",28.1,0.4,8.1,0.2,6.1,NA
"153","CKM1996080606",2.8,"B",28.1,0.4,8.1,0.2,6.1,NA
"154","CKM1996080607",0.2,"B",27.7,0.4,8.2,0.2,6.7,NA
"155","CKM1996080607",6.3,"B",27.7,0.4,8.2,0.2,6.2,NA
"156","CKM1996080608",0.2,"B",27.9,0.4,8.2,0.2,6.3,NA
"157","CKM1996080608",3.7,"B",27.7,0.4,8.1,0.2,6.1,NA
"158","CKM1996080701",0.2,"B",29.5,32.8,8.3,19.1,7.8,NA
"159","CKM1996080701",2.2,"B",29.2,33.8,8.2,21,6.7,NA
"160","CKM1996080702",0.4,"B",30.1,24.8,8.4,15.1,8.3,NA
"161","CKM1996080703",0.5,"B",30.5,23.8,8.2,14.4,8.5,NA
"162","CKM1996080704",0.5,"B",31.7,18.4,7.8,10.9,6.2,NA
"163","CKM1996080705",0.3,"B",31.4,19.4,8.1,8.1,7.9,NA
"164","CKM1996080706",0.5,"B",31.7,14.9,8.1,8.7,7.1,NA
"165","CKM1996080707",0.5,"B",28.3,0.4,8.2,0,6.1,NA
"166","CKM1996080708",0.3,"B",32.2,46.6,8.3,30.8,9.3,NA
"167","CKM1996080801",0.6,"B",29.4,45.2,8.1,29.3,4.4,NA
"168","CKM1996080802",0.4,"B",29.7,46.7,8.3,30.4,4.7,NA
"169","CKM1996081301",0.2,"B",26,37.6,NA,23.8,6.6,NA
"170","CKM1996081302",0.3,"B",26.7,5.7,8.1,2.4,8.1,NA
"171","CKM1996081303",0.4,"B",26.3,6.8,7.7,3.3,5.6,NA
"172","CKM1996081304",0.5,"B",27.3,38.5,NA,24.4,7.4,NA
"173","CKM1996081401",0.5,"B",26.9,35.9,7.7,22.7,4.8,NA
"174","CKM1996081402",0.3,"B",26.2,30.3,7.8,18.8,4.4,NA
"175","CKM1996081403",0.6,"B",26.9,35.6,7.9,22.7,5.1,NA
"176","CKM1996081404",0.6,"B",27.3,39.8,8,25.4,5.3,NA
"177","CKM1996081405",0.3,"B",28.6,41.8,8.2,27,7.2,NA
"178","CKM1996081501",0.5,"B",27.9,44,8.4,28.5,7.6,NA
"179","CKM1996081502",0.3,"B",28.9,28.1,8.1,17.2,7.3,NA
"180","CKM1996081503",0.6,"B",31.1,40.4,8.3,25.8,8.7,NA
"181","CKM1996082001",0.3,"B",28.8,46.7,8.4,30.3,5.8,NA
"182","CKM1996082002",0.2,"B",29.1,41.8,8.1,26.8,6.8,NA
"183","CKM1996082002",3,"B",29.3,45,7.2,29.4,5.9,NA
"184","CKM1996082003",0.2,"B",28.9,41.1,8.1,26.3,7.3,NA
"185","CKM1996082003",2.5,"B",28.9,41.3,8.1,26.4,6.9,NA
"186","CKM1996082004",0.4,"B",29.7,44.6,8.5,28.9,6.6,NA
"187","CKM1996082005",0.3,"B",29.9,43.6,8.7,28.3,10.1,NA
"188","CKM1996090901",0.2,"B",30.4,44.7,8.1,29,5.2,NA
"189","CKM1996090901",4.8,"B",30.3,45.4,8.1,29.4,4.9,NA
"190","CKM1996090902",0.2,"B",30.1,47.6,8.1,31,5.4,NA
"191","CKM1996090902",5.6,"B",30.1,47.6,8.1,31.1,5.2,NA
"192","CKM1996090903",0.2,"B",30.1,44.2,8.2,28.6,5.9,NA
"193","CKM1996090903",5.2,"B",29.9,49.3,8.1,32.4,4.6,NA
"194","CKM1996090904",0.2,"B",30.7,44.8,8.2,29.1,5.7,NA
"195","CKM1996090904",3.3,"B",30.4,46.6,8.1,30.3,4.8,NA
"196","CKM1996090905",0.2,"B",31,41.1,8.2,26.3,5.8,NA
"197","CKM1996090905",2.8,"B",30.4,44,8.1,29,4.9,NA
"198","CKM1996090906",0.2,"B",31.1,45.3,8.1,29.3,5.3,NA
"199","CKM1996090906",4.8,"B",30.4,47,8.1,30.6,4.5,NA
"200","CKM1996090907",0.2,"B",31,39.1,8.1,23.4,5.1,NA
"201","CKM1996090907",2.7,"B",30.7,39.4,8.1,25.1,4.7,NA
"202","CKM1996091001",0.2,"B",30,46.6,8.1,30.4,5.3,NA
"203","CKM1996091001",4.8,"B",30.1,46.7,8.1,30.4,4.8,NA
"204","CKM1996091002",0.2,"B",29.7,48.2,8.1,31.4,4.6,NA
"205","CKM1996091002",5.2,"B",29.7,48.2,8.1,31.5,4.9,NA
"206","CKM1996091003",0.2,"B",29.8,47.3,8.2,30.9,5.1,NA
"207","CKM1996091003",4.6,"B",29.8,47.1,8.2,31,4.9,NA
"208","CKM1996091004",0.2,"B",29.7,48.4,8.2,31.6,5.4,NA
"209","CKM1996091004",5.1,"B",29.7,48.5,8.2,31.7,5.3,NA
"210","CKM1996091005",0.2,"B",30.2,45.8,8.2,29.8,5.3,NA
"211","CKM1996091005",3.1,"B",30.2,45.9,8.2,29.8,5.1,NA
"212","CKM1996091006",0.2,"B",29.9,42.4,8.1,27.1,4.8,NA
"213","CKM1996091006",3.1,"B",30,43,8.1,27.7,4.7,NA
"214","CKM1996091007",0.2,"B",30.3,38.6,8.2,24.6,5.1,NA
"215","CKM1996091007",2.8,"B",29.7,40,8,25.6,3.6,NA
"216","CKM1996091201",0.2,"B",NA,NA,NA,23.2,NA,NA
"217","CKM1996091201",2.4,"B",NA,NA,NA,23.2,NA,NA
"218","CKM1996091202",0.2,"B",29.5,34,8.5,NA,8,NA
"219","CKM1996091202",2.6,"B",29.5,34,8.5,NA,7.9,NA
"220","CKM1996091203",0.2,"B",30,43.1,8.3,27.8,6.5,NA
"221","CKM1996091203",2.7,"B",29.8,43.2,8.3,27.9,6.1,NA
"222","CKM1996091701",0.3,"B",27.6,42.1,8.1,27.1,5.4,NA
"223","CKM1996091702",0.5,"B",27.7,38.3,7.9,24.4,4.5,NA
"224","CKM1996091703",0.2,"B",31.4,34.5,8.1,21.5,7.8,NA
"225","CKM1996091704",0.2,"B",32.4,35.2,8.1,22.2,6.6,NA
"226","CKM1996091801",0.3,"B",28.6,45,8.2,29.2,5,NA
"227","CKM1996091802",0.3,"B",28.7,44.7,8.4,29,5.9,NA
"228","CKM1996091803",0.4,"B",28.9,45.3,8.4,29.4,5.6,NA
"229","CKM1996091804",0.3,"B",31.8,44.9,8.6,29.1,8.7,NA
"230","CKM1996091901",0.2,"B",27.2,NA,NA,21.8,NA,NA
"231","CKM1996091901",3.6,"B",NA,NA,NA,29.1,NA,NA
"232","CKM1996091902",0.2,"B",27.2,NA,NA,24.5,NA,NA
"233","CKM1996091902",2.7,"B",NA,NA,NA,28.5,NA,NA
"234","CKM1996091903",0.2,"B",27.2,NA,NA,25.5,NA,NA
"235","CKM1996091903",3.9,"B",NA,NA,NA,29.4,NA,NA
"236","CKM1996091904",0.7,"B",28.1,NA,NA,27.8,NA,NA
"237","CKM1996091905",0.8,"B",28.9,27.7,8.4,17,5.6,NA
"238","CKM1996091906",0.2,"B",30.1,2.4,8.3,1.3,6.4,NA
"239","CKM1996092001",0.6,"B",28.1,40.6,8.4,26,6.7,NA
"240","CKM1996092002",0.6,"B",27.8,40.6,NA,NA,NA,NA
"241","CKM1996092501",0.5,"B",25.3,1.1,8.2,0.6,6.1,NA
"242","CKM1996092502",0.2,"B",25.5,NA,NA,28,NA,NA
"243","CKM1996092503",0.5,"B",26.2,33.9,8.2,21.3,5.2,NA
"244","CKM1996092504",0.5,"B",25,NA,NA,16,NA,NA
"245","CKM1996092505",0.3,"B",26.4,28.2,8.1,17.3,5,NA
"246","CKM1996092506",0.6,"B",25,NA,NA,20,NA,NA
"247","CKM1996092507",0.5,"B",26.6,24.5,8.3,14.8,5.7,NA
"248","CKM1996092508",0.4,"B",28,NA,NA,21,NA,NA
"249","CKM1996092509",0.5,"B",26.3,26.4,8.3,16.1,5.2,NA
"250","CKM1996092510",0.6,"B",27.4,17.2,8.1,10.1,5.4,NA
"251","CKM1996092511",0.5,"B",28.3,21,8.3,12.5,6.6,NA
"252","CKM1996100401",0.2,"B",25.2,37.7,8.6,23.9,6.1,NA
"253","CKM1996100401",2.7,"B",25.2,37.8,8.6,24,5.9,NA
"254","CKM1996100402",0.2,"B",25.1,43.8,8.6,28.3,5.8,NA
"255","CKM1996100402",1.6,"B",25.1,44.5,8.6,28.8,5.8,NA
"256","CKM1996100403",0.2,"B",25.4,45.3,8.6,29.4,5.9,NA
"257","CKM1996100403",3.9,"B",25.4,45.3,8.6,29.4,5.8,NA
"258","CKM1996100404",2.2,"B",26.1,47.4,8.7,30.9,6.4,NA
"259","CKM1996100405",0.2,"B",25.5,43.2,8.7,27.9,6.2,NA
"260","CKM1996100405",3.7,"B",25.4,43.3,8.6,27.9,5.8,NA
"261","CKM1996101101",0.4,"B",21.3,46.5,8.6,30.3,6.1,NA
"262","CKM1996101102",0.5,"B",21.8,45.9,8.7,29.8,7.1,NA
"263","CKM1996101103",0.2,"B",22.8,47.1,8.7,30.7,6.5,NA
"264","CKM1996101103",6.3,"B",23.1,47.3,8.7,30.8,5.8,NA
"265","CKM1996101104",0.2,"B",22.9,46.2,8.8,30,6.6,NA
"266","CKM1996101104",5.2,"B",23.5,47.7,8.7,31.1,5,NA
"267","CKM1996101105",0.2,"B",22.7,45,8.7,29.2,6.6,NA
"268","CKM1996101105",5.6,"B",23.1,46.3,8.7,30.1,5.1,NA
"269","CKM1996101106",0.2,"B",22.4,37.4,8.7,23.7,9.1,NA
"270","CKM1996101106",2.5,"B",22.2,38.5,8.6,24.5,7.1,NA
"271","CKM1996101107",0.2,"B",22.3,30.7,8.5,19,7.4,NA
"272","CKM1996101107",2.7,"B",21.8,32.2,8.5,20.1,6.2,NA
"273","CKM1996101108",0.2,"B",23,41.6,8.8,26.7,8.5,NA
"274","CKM1996101108",3,"B",23.1,44.5,8.8,28.8,7,NA
"275","CKM1996101109",0.2,"B",22.8,42.6,8.8,27.4,7.7,NA
"276","CKM1996101109",2.8,"B",22.5,43.4,8.8,28,7.3,NA
"277","CKM1996101501",0.4,"B",21.2,42.6,8.8,27.4,7.5,NA
"278","CKM1996101502",0.3,"B",23,43.9,9,28.4,7.5,NA
"279","CKM1996101503",0.4,"B",23.3,43.4,9,28,7.9,NA
"280","CKM1996101504",0.5,"B",24.9,44.4,9,28.7,8.3,NA
"281","CKM1996101505",0.4,"B",24.9,37.4,8.9,23.7,7.9,NA
"282","CKM1996101601",0.3,"B",23.3,38.6,8.8,24.6,6.7,NA
"283","CKM1996101602",0.6,"B",24.3,40.2,8.9,25.7,7.5,NA
"284","CKM1996101701",0.5,"B",23.5,27.5,8.2,16.9,4.8,NA
"285","CKM1996101702",0.2,"B",27,30.7,8.8,19,9.7,NA
"286","CKM1996101703",0.5,"B",24.6,20.1,8.2,12,4.7,NA
"287","CKM1996101704",0.5,"B",26,3.3,8.3,1.8,6.5,NA
"288","CKM1996101801",0.2,"B",23.5,8.1,8.1,4.5,3.9,NA
"289","CKM1996101801",1.5,"B",23.5,8.1,8.1,4.5,4.9,NA
"290","CKM1996101802",0.5,"B",25.5,15.8,8.1,9.2,4.5,NA
"291","CKM1996101803",0.5,"B",24.5,6,7.9,3.3,4.5,NA
"292","CKM1996101804",0.9,"B",22.6,1.1,8,0.6,5.3,NA
"293","CKM1996101805",0.9,"B",23.4,2.7,8,1.5,4.4,NA
"294","CKM1996102201",0.2,"B",19.6,4.6,7.9,2.5,5.1,NA
"295","CKM1996102201",4,"B",20.9,31.3,8.2,19.4,3.4,NA
"296","CKM1996102202",0.2,"B",20.8,40.1,8.8,25.6,6.7,NA
"297","CKM1996102202",3.7,"B",21.3,48.6,8.8,31.8,5.4,NA
"298","CKM1996102203",0.2,"B",20.6,42.9,8.9,27.6,7.1,NA
"299","CKM1996102203",5.1,"B",21,49.8,8.8,32.7,5.8,NA
"300","CKM1996102204",0.2,"B",20.9,40.6,8.8,26,6.8,NA
"301","CKM1996102204",4.8,"B",21.1,49.2,8.9,32.2,5.6,NA
"302","CKM1996102205",0.2,"B",21.6,42,8.9,27,6.8,NA
"303","CKM1996102205",3.6,"B",21.1,48.2,8.8,31.5,4.9,NA
"304","CKM1996102206",0.2,"B",21.5,34.7,8.6,21.8,6.2,NA
"305","CKM1996102206",1.9,"B",21,42.7,8.8,27.5,5.1,NA
"306","CKM1996102207",0.2,"B",22.2,39.6,8.8,25.3,6.1,NA
"307","CKM1996102207",2.4,"B",21.5,44.2,8.8,28.6,5.7,NA
"308","CKM1996102208",0.2,"B",21.4,42.3,8.9,27.2,7.2,NA
"309","CKM1996102208",3.1,"B",21.2,42.6,8.9,27.4,6.4,NA
"310","CKM1996102209",0.5,"B",21.9,42.4,8.9,27.3,6.9,NA
"311","CKM1996102210",0.3,"B",22.4,29.6,8.5,18.3,8.1,NA
"312","CKM1996102301",0.4,"B",21.3,33.4,8.2,20.9,4,NA
"313","CKM1996102302",0.4,"B",22.1,36.2,8.6,22.8,6.1,NA
"314","CKM1996102303",0.9,"B",22.5,27.2,8.3,16.7,5.7,NA
"315","CKM1996102304",0.6,"B",22,22.1,8.3,13.3,5.6,NA
"316","CKM1996110101",0.3,"B",25.7,44.8,8.7,29,6,NA
"317","CKM1996110102",0.3,"B",24.4,33.4,8.7,20.9,6.2,NA
"318","CKM1996110103",0.2,"B",26.2,40.2,8.8,25.7,6.8,NA
"319","CKM1996110103",3.9,"B",25.5,42.4,8.7,27.3,5.3,NA
"320","CKM1996110104",0.2,"B",26.3,43.6,8.1,28.2,6.6,NA
"321","CKM1996110104",2.7,"B",25.8,43.8,8.8,28.3,6.2,NA
"322","CKM1996110501",0.5,"B",19.5,40.7,8.9,26.1,6.8,NA
"323","CKM1996110502",0.4,"B",20.1,39,8.8,24.8,7.1,NA
"324","CKM1996110503",0.2,"B",19.8,37.8,8.9,24,8.3,NA
"325","CKM1996110503",2.1,"B",19.4,39,8.9,24.8,7.3,NA
"326","CKM1996110504",0.2,"B",20.6,43.1,8.9,27.8,7.2,NA
"327","CKM1996110504",3.1,"B",20.4,45.1,9,29.2,6.8,NA
"328","CKM1996110505",0.2,"B",20.3,42.6,9,27.4,7.4,NA
"329","CKM1996110505",1.8,"B",20.3,42.5,9,27.4,7.3,NA
"330","CKM1996110506",0.2,"B",21.4,46.1,8.9,30,6.7,NA
"331","CKM1996110506",5.1,"B",21.5,46.6,8.9,30.3,6.1,NA
"332","CKM1996110507",0.2,"B",21.6,45.4,8.9,29.5,7,NA
"333","CKM1996110507",6.6,"B",21.8,49.4,8.9,32.4,5.6,NA
"334","CKM1996110701",0.2,"B",21.7,39.1,8.7,24.9,5.9,NA
"335","CKM1996110701",1.9,"B",21.7,39.2,8.7,25,5.8,NA
"336","CKM1996110702",0.2,"B",21.9,31.2,8.8,19.4,6.7,NA
"337","CKM1996110702",2.4,"B",21.8,38.1,8.8,24.2,6.2,NA
"338","CKM1996110703",0.2,"B",21.7,44.8,8.9,29,6.6,NA
"339","CKM1996110703",2.1,"B",21.7,44.9,8.9,29.1,6,NA
"340","CKM1996110704",0.2,"B",21.9,45.8,8.9,29.8,7.2,NA
"341","CKM1996110704",4.8,"B",21.6,46,8.9,29.9,6.3,NA
"342","CKM1996110705",0.2,"B",21.9,45.9,8.9,29.8,6.8,NA
"343","CKM1996110705",4.3,"B",21.5,46.2,8.8,30,5.4,NA
"344","CKM1996110706",0.2,"B",22.7,46.5,8.9,30.3,6.2,NA
"345","CKM1996110706",4.8,"B",21.7,47,8.9,30.6,5.6,NA
"346","CKM1996111301",0.3,"B",15.6,NA,NA,31,NA,NA
"347","CKM1996111302",2.3,"B",15.6,NA,NA,23,NA,NA
"348","CKM1996111303",1.1,"B",16.1,NA,NA,29,NA,NA
"349","CKM1996111304",0.4,"B",15.6,NA,NA,24,NA,NA
"350","CKM1996111401",0.4,"B",15.6,NA,NA,19,NA,NA
"351","CKM1996111402",1.6,"B",16.1,NA,NA,15,NA,NA
