"","Reference","Depth","Beg_end","Temperature","Conductivity","pH","Salinity","DissolvedO2","Flag"
"1577","CKM1998081104",0.3,"B",29.2,8,8.2,4.5,5.5,NA
"1578","CKM1998081105",0.9,"B",29.3,4.1,8.1,2.2,4.7,NA
"1579","CKM1998081106",0.2,"B",33.2,24.4,8.6,14.7,11.2,NA
"1580","CKM1998081107",0.3,"B",33.2,24.4,8,14.7,11.2,NA
"1581","CKM1998081108",0.6,"B",32.3,21.9,9,13.1,13,NA
"1582","CKM1998081109",0.6,"B",32.1,41.8,8.8,26.9,7.2,NA
"1583","CKM1998081201",0.4,"B",29.6,15.4,8.3,9.1,5.4,NA
"1584","CKM1998081202",0.5,"B",30.6,27.7,8.4,17,5.4,NA
"1585","CKM1998081203",0.5,"B",31,33.5,8.6,21,6,NA
"1586","CKM1998081204",0.6,"B",31.5,35.9,8.7,22.7,7.6,NA
"1587","CKM1998081205",0.2,"B",32.5,34.7,8.9,21.7,9.6,NA
"1588","CKM1998081206",0.2,"B",30.2,0.8,8.7,0.4,7,NA
"1589","CKM1998081207",0.3,"B",33.1,18.1,8.6,10.8,8,NA
"1590","CKM1998081701",0.5,"B",30.8,5.8,8.8,3.2,7.3,NA
"1591","CKM1998081702",0.4,"B",30.1,13,8.5,7.4,5.5,NA
"1592","CKM1998081703",0.5,"B",31.5,16.4,8.5,9.6,4.4,NA
"1593","CKM1998081704",0.7,"B",30.9,12.1,8.6,6.9,5.3,NA
"1594","CKM1998081705",0.8,"B",29.7,2.4,8.7,1.3,6.1,NA
"1595","CKM1998081706",0.5,"B",30.1,2.7,8.6,1.4,6,NA
"1596","CKM1998081707",0.5,"B",32.2,27,8.9,16.6,8.3,NA
"1597","CKM1998081901",0.3,"B",28,23,8.2,13.8,3.1,NA
"1598","CKM1998081902",0.3,"B",28.5,36,8.5,22.7,3.7,NA
"1599","CKM1998081903",0.5,"B",29,38.4,8.6,24.5,4.8,NA
"1600","CKM1998081904",0.5,"B",29.4,40.5,8.7,25.9,4.1,NA
"1601","CKM1998090801",0.6,"B",28.4,44.8,8.1,29,5,NA
"1602","CKM1998090802",0.5,"B",28.4,42.1,8.2,27.1,5.3,NA
"1603","CKM1998090803",0.5,"B",28.4,43.1,8.3,27.8,6,NA
"1604","CKM1998090804",0.6,"B",28.1,34.2,7.8,21.5,4.3,NA
"1605","CKM1998090805",0.2,"B",29.2,40.9,8.2,26.2,6.6,NA
"1606","CKM1998090806",0.2,"B",29.7,43,8.3,27.7,7,NA
"1607","CKM1998090807",0.3,"B",30.7,45.5,8.2,29.5,5.5,NA
"1608","CKM1998090808",0.3,"B",30.3,45.3,8.4,29.4,8.7,NA
"1609","CKM1998090901",0.3,"B",27.3,11.7,7.8,6.7,4.1,NA
"1610","CKM1998090902",0.3,"B",28.2,29.2,8,18.2,4.8,NA
"1611","CKM1998090903",0.6,"B",27,3.8,7.9,2.1,4.1,NA
"1612","CKM1998090904",0.6,"B",27.2,5.6,7.9,3.1,4.6,NA
"1613","CKM1998090905",0.3,"B",29.4,10,8,5.7,7,NA
"1614","CKM1998090906",0.5,"B",28.7,4.5,8.1,2.5,6.5,NA
"1615","CKM1998090907",0.8,"B",30.2,7.8,8.2,4.3,6.2,NA
"1616","CKM1998091001",0.2,"B",25.9,42.5,8.1,27.3,4.1,NA
"1617","CKM1998091002",0.5,"B",26.5,40.5,8.2,25.9,6,NA
"1618","CKM1998091003",0.2,"B",27.4,40.2,8.5,25.7,7.8,NA
"1619","CKM1998091004",0.3,"B",27,39.2,8.4,25,8.3,NA
"1620","CKM1998091005",0.4,"B",27,40.6,8.4,26,7.1,NA
"1621","CKM1998091501",0.5,"B",27.1,40.7,8.4,26,6,NA
"1622","CKM1998091601",0.6,"B",26.8,32.5,8.5,20.3,5.7,NA
"1623","CKM1998091602",0.7,"B",27,30.4,8.5,18.9,6.8,NA
"1624","CKM1998091603",0.6,"B",27.3,34.8,8.5,21.9,4.5,NA
"1625","CKM1998091604",0.4,"B",27.1,12.9,8.1,7.3,5.8,NA
"1626","CKM1998091605",0.2,"B",27.1,21.6,8.3,12.9,5.5,NA
"1627","CKM1998091701",0.6,"B",26.9,42.4,8.4,27.4,4.8,NA
"1628","CKM1998091702",0.6,"B",27.1,39.8,8,25.5,4.1,NA
"1629","CKM1998091703",0.6,"B",27.3,42.4,8.5,27.3,5.4,NA
"1630","CKM1998091704",0.6,"B",27.7,40.9,8.4,26.2,6.2,NA
"1631","CKM1998092201",0.3,"B",28.1,45.7,8.5,29.7,5.3,NA
"1632","CKM1998092202",0.5,"B",28.3,39.1,8.6,24.9,5.6,NA
"1633","CKM1998092203",0.4,"B",29.3,38.4,8.8,24.5,7.1,NA
"1634","CKM1998092204",0.4,"B",30.3,43.5,9.2,28,12.3,NA
"1635","CKM1998092205",0.6,"B",29.7,44.5,8.9,28.9,8.3,NA
"1636","CKM1998092801",0.3,"B",27,34.8,8.3,21.9,5,NA
"1637","CKM1998092802",0.8,"B",27.5,36.6,8.4,23.2,5.4,NA
"1638","CKM1998092803",0.3,"B",28.5,32.4,8,20.2,4.3,NA
"1639","CKM1998092804",0.3,"B",28.9,17.2,8.5,10.1,7.2,NA
"1640","CKM1998092805",1.1,"B",27.2,3.3,8.4,1.8,4.9,NA
"1641","CKM1998100601",0.3,"B",27.7,41.9,8.1,26.9,6.5,NA
"1642","CKM1998100602",0.3,"B",28,42.1,8.3,27.1,6.7,NA
