"X1995.8.Year","X1995.8.Month","X1995.8.Day","X1995.8.Lat","X1995.8.Lon","X1995.8.Depth","X1995.8.Bottom_temp","X1995.8.Bottom_sal","X1995.8.Bottom_DO","X1995.8.Surface_temp","X1995.8.Surface_sal","X1995.8.Surface_DO","X1995.8.pH","X1995.8.Data_source"
1995,8,30,29.3235,-83.157,0.2,NA,NA,NA,27,5.8,6.9,8.2,"FDACS"
1995,8,30,29.34333333,-83.192,0.2,NA,NA,NA,27.1,20.9,7.6,8.1,"FDACS"
1995,8,30,29.25666667,-83.1,0.2,NA,NA,NA,27.8,15.8,6.6,8.1,"FDACS"
1995,8,30,29.243,-83.0945,0.2,NA,NA,NA,28.5,16.6,8.1,8.1,"FDACS"
1995,8,30,29.23116667,-83.0855,0.2,NA,NA,NA,28.1,17.8,8,8.1,"FDACS"
1995,8,30,29.24483333,-83.074,0.2,NA,NA,NA,27.8,15.7,7.6,8,"FDACS"
1995,8,30,29.24033333,-83.16333333,0.2,NA,NA,NA,27.5,20.6,8.2,8.1,"FDACS"
1995,8,30,29.2995,-83.18833333,0.2,NA,NA,NA,27.1,20.1,7.8,8.2,"FDACS"
1995,8,30,29.36566667,-83.2,0.2,NA,NA,NA,27.2,21.6,7.6,7.9,"FDACS"
1995,8,30,29.3615,-83.18983333,0.2,NA,NA,NA,26.1,20,6.5,8,"FDACS"
1995,8,30,29.34016667,-83.1715,0.2,NA,NA,NA,26.8,16,6.6,8,"FDACS"
1995,8,30,29.27666667,-83.10716667,0.2,NA,NA,NA,28.3,15.6,7.8,8.3,"FDACS"
1995,8,30,29.25633333,-83.07833333,0.2,NA,NA,NA,28.4,13.5,7.2,8,"FDACS"
1995,8,30,29.27,-83.14333333,0.2,NA,NA,NA,27.2,10.8,6.8,8.1,"FDACS"
1995,8,30,29.1665,-83.0315,0.3,26.3,19,"6",26.5,18.7,6.2,8,"FDACS"
1995,8,30,29.362,-83.1815,0.3,26.3,19,"6",26.5,18.7,6.2,8,"FDACS"
1995,8,30,29.32,-83.19166667,0.3,26.9,17.9,"7.5",26.9,17.8,7.7,8.1,"FDACS"
1995,8,30,29.25483333,-83.14583333,0.3,27.4,18.2,"7.1",27.6,18.8,7.6,8.2,"FDACS"
1995,8,30,29.16333333,-83.04666667,0.3,27.4,18.2,"7.1",27.6,18.8,7.6,8.2,"FDACS"
1995,8,30,29.25366667,-83.10166667,0.3,28.3,15.3,"6.6",28.2,14.9,7,8,"FDACS"
1995,8,30,29.34766667,-83.182,0.3,26.5,21.7,"6.3",26.3,20.6,6.8,7.9,"FDACS"
1995,8,30,29.26833333,-83.13233333,0.3,27.7,9.8,"7.2",27.5,9.8,7.2,8.3,"FDACS"
1995,8,30,29.23733333,-83.08233333,0.3,27.5,16.8,"8.1",27.8,16.8,8.3,8,"FDACS"
1995,8,30,29.2245,-83.0795,0.3,28.3,17.3,"7.5",28.3,16.9,7.8,8,"FDACS"
1995,8,30,29.2245,-83.07983333,0.3,28.3,17.3,"7.5",28.3,16.9,7.8,8,"FDACS"
1995,8,30,29.34633333,-83.174,0.4,26.4,20.3,"7.4",26.4,20.4,6.4,7.9,"FDACS"
1995,8,30,29.3445,-83.19233333,0.4,27.3,24.3,"7.9",27.2,24.3,8,8,"FDACS"
1995,8,30,29.305,-83.17633333,0.4,27.2,1.7,"7.1",27.1,1,7.7,8.3,"FDACS"
1995,8,30,29.24816667,-83.15416667,0.4,27.7,19.1,"7.5",27.4,18.7,8,8.1,"FDACS"
1995,8,30,29.2745,-83.17333333,0.4,27.3,3.7,"7.4",26.8,2.4,7.4,8.2,"FDACS"
1995,8,30,29.3285,-83.15416667,0.5,27.3,8.6,"6.1",27.3,7.5,6.2,8,"FDACS"
1995,8,30,29.36133333,-83.213,0.5,27.6,25.2,"7.8",27.7,24.7,7.7,7.9,"FDACS"
1995,8,30,29.13683333,-83.03066667,0.5,27.7,25.4,"8",27.5,25,8.3,8,"FDACS"
1995,8,30,29.31866667,-83.19866667,0.5,27,21.8,"7.7",27.2,21.1,7.9,8,"FDACS"
1995,8,30,29.2875,-83.1655,0.5,27.3,0.9,"6.9",27.1,0.3,7,8.3,"FDACS"
1995,8,30,29.355,-83.17333333,0.6,26.4,16.2,"6.8",26.4,14.8,7.2,8,"FDACS"
1995,8,30,29.34933333,-83.21066667,0.6,27.4,25.3,"7.9",27.6,25.1,8.2,8,"FDACS"
1995,8,30,29.31016667,-83.19933333,0.6,28.3,25.7,"7.8",27.4,22.2,8.2,8,"FDACS"
1995,8,30,29.2635,-83.171,0.6,27.6,24.3,"7.1",27.3,24.7,7.6,8,"FDACS"
1995,8,30,29.249,-83.1705,0.6,27.5,24.9,"8.2",27.6,24.8,8.7,8.1,"FDACS"
1995,8,30,29.31516667,-83.16333333,0.7,27.1,14.5,"6.4",26.9,5.9,6.7,8.2,"FDACS"
1995,8,30,29.279,-83.0885,0.7,28,16,"3.8",27.5,5.9,6,8.1,"FDACS"
1995,8,30,29.32516667,-83.139,0.7,27.8,0.2,"5.4",27.4,0,5.7,8.2,"FDACS"
1995,8,30,29.2965,-83.19033333,0.7,27.6,25.3,"8",27.4,25.3,8,8,"FDACS"
1995,8,30,29.329,-83.17383333,0.8,27.1,18.6,"7.2",26.4,16.9,7.4,7.9,"FDACS"
1995,8,30,29.2775,-83.11216667,0.8,27.8,3.3,"6.7",27.2,0,6.9,8.3,"FDACS"
1995,8,30,29.315,-83.11966667,0.9,27.2,0.3,"6",27,0,6.3,8.3,"FDACS"
