"X2003.8.Year","X2003.8.Month","X2003.8.Day","X2003.8.Lat","X2003.8.Lon","X2003.8.Depth","X2003.8.Bottom_temp","X2003.8.Bottom_sal","X2003.8.Bottom_DO","X2003.8.Surface_temp","X2003.8.Surface_sal","X2003.8.Surface_DO","X2003.8.pH","X2003.8.Data_source"
2003,8,1,29.137383,-83.039517,0.2,28.6,26.2,"4.3",NA,NA,NA,7.8,"FWC"
2003,8,1,29.102867,-83.070483,0.4,29.1,26.7,"6.1",29.1,26.7,6.2,7.8,"FWC"
2003,8,1,29.1144,-83.046133,0.5,29,26.2,"7.4",29,26.2,7.5,7.9,"FWC"
2003,8,1,29.118367,-83.027917,0.2,29.1,25.2,"7.4",NA,NA,NA,7.9,"FWC"
2003,8,1,29.128383,-83.027517,0.2,29.3,25.4,"7.6",NA,NA,NA,7.9,"FWC"
2003,8,1,29.145567,-83.016017,0.2,29.7,23.9,"6.8",NA,NA,NA,7.7,"FWC"
2003,8,1,29.127583,-83.0504,0.6,30.5,25.8,"7.2",30.3,25.3,7.7,7.7,"FWC"
2003,8,1,29.130817,-83.067267,0.6,30.1,25.2,"8",30.3,25.2,8.2,7.8,"FWC"
2003,8,2,29.1667,-83.066733,0.2,30.3,25.8,"6.6",NA,NA,NA,7.9,"FWC"
2003,8,2,29.1561,-83.068167,0.2,30.1,26.1,"6.5",NA,NA,NA,7.8,"FWC"
2003,8,2,29.133667,-83.027317,3.8,29.9,24.7,"6.7",29.9,23.4,6.6,7.8,"FWC"
2003,8,2,29.16345,-83.001917,0.7,30.7,22.4,"4.7",30.7,22.4,4.7,7.5,"FWC"
2003,8,2,29.10765,-82.9814,2,30.1,22.8,"7.3",30.7,19.6,7.7,7.9,"FWC"
2003,8,2,29.095967,-82.977733,2.2,30.2,23.7,"7.5",30.8,20.8,7.8,7.9,"FWC"
2003,8,2,29.0694,-82.97755,2.3,30.5,24.1,"7.4",30.7,23.4,7.6,7.8,"FWC"
2003,8,2,29.088467,-83.019133,2.9,30.7,24.2,"7.7",31.1,23.1,7.7,7.9,"FWC"
2003,8,3,29.155783,-83.011417,0.8,30.1,23.2,"5.3",30.1,23.2,5.6,7.9,"FWC"
2003,8,3,29.127383,-83.03195,0.8,29.6,25.2,"4.7",29.6,25,5,7.9,"FWC"
2003,8,3,29.12685,-83.033783,0.8,29.9,25.7,"6",29.9,25.6,6.1,8,"FWC"
2003,8,3,29.09505,-83.03265,0.2,29.9,26.1,"7.1",NA,NA,NA,8,"FWC"
2003,8,3,29.146917,-83.073917,0.2,30.4,19.7,"9.9",NA,NA,NA,8.1,"FWC"
