"X2013.1.Year","X2013.1.Month","X2013.1.Day","X2013.1.Lat","X2013.1.Lon","X2013.1.Depth","X2013.1.Bottom_temp","X2013.1.Bottom_sal","X2013.1.Bottom_DO","X2013.1.Surface_temp","X2013.1.Surface_sal","X2013.1.Surface_DO","X2013.1.pH","X2013.1.Data_source"
2013,1,1,29.130583,-83.0577,0.3,13.9,26.9,"9.8",13.9,26.9,10.3,7.6,"FWC"
2013,1,1,29.143366,-83.0775,0.4,14.3,27.9,"8.9",14.3,27.9,8.4,7.4,"FWC"
2013,1,1,29.13555,-83.10495,0.3,14.6,30,"8.7",14.6,30,7.6,7.4,"FWC"
2013,1,1,29.147183,-83.112383,3,14.1,30,"8.9",14.3,29.1,8.7,7.6,"FWC"
2013,1,1,29.08455,-83.158866,5.6,14.5,33.3,"8.6",14.8,33.3,8.3,7.7,"FWC"
2013,1,1,29.096333,-83.098733,2.6,14,30.3,"9",14.2,29.5,8.9,7.6,"FWC"
2013,1,1,29.036,-83.064183,4.7,14.4,32.7,"8.6",14.5,32.7,8.4,7.6,"FWC"
2013,1,1,29.082066,-83.021283,3,14.2,30.3,"9.3",14.2,30.3,9.2,7.6,"FWC"
2013,1,2,29.304433,-83.173666,0.2,14.5,9.1,"8.5",NA,NA,NA,8.1,"FWC"
2013,1,2,29.3067,-83.168716,3.3,13.9,19.6,"7.7",16.3,0.7,7.5,7.5,"FWC"
2013,1,2,29.315833,-83.1447,2.8,16.9,0.2,"8.1",16.9,0.2,7.3,9.2,"FWC"
2013,1,2,29.325216,-83.112366,5.7,17.3,0.2,"8.2",17.3,0.2,8,8.6,"FWC"
2013,1,2,29.325366,-83.111483,7.2,17.2,0.2,"8.4",17.2,0.2,6.8,8.5,"FWC"
2013,1,2,29.327583,-83.101533,3.1,16.7,0.2,"7.5",17.1,0.2,7.3,8.7,"FWC"
2013,1,2,29.32475,-83.113583,0.2,17.8,0.2,"7.5",NA,NA,NA,9.4,"FWC"
2013,1,2,29.30365,-83.118016,0.3,17.3,0.2,"7.7",17.4,0.2,7.4,9.2,"FWC"
2013,1,2,29.322983,-83.131733,0.5,17.5,0.2,"7.8",17.5,0.2,7.5,8.9,"FWC"
2013,1,2,29.3122,-83.147483,0.4,17.3,0.2,"8.2",17.2,0.2,8.1,8.8,"FWC"
2013,1,3,29.122666,-83.033116,0.2,13.7,28.3,"9.1",NA,NA,NA,7.6,"FWC"
2013,1,3,29.096416,-83.026766,2,13.4,29.5,"8.7",13.2,29.5,8.4,7.6,"FWC"
2013,1,3,29.0959,-83.068766,0.3,12.5,30.2,"7.9",12.5,30.2,7.9,7.5,"FWC"
2013,1,3,29.096166,-83.069283,0.2,12.8,30,"7.6",NA,NA,NA,7.7,"FWC"
2013,1,3,29.101983,-83.062683,0.5,13.9,29,"8.2",13.9,29,7.4,7.6,"FWC"
2013,1,3,29.127066,-83.0507,2.2,14.3,29.1,"8.1",14.3,28.8,7.6,7.6,"FWC"
2013,1,3,29.139983,-83.055866,0.3,14.1,27.7,"8.7",14.1,27.6,8.6,7.6,"FWC"
2013,1,3,29.1545,-83.049716,0.6,14.9,26.5,"8.3",14.9,26.5,7.9,7.6,"FWC"
2013,1,4,29.15545,-82.9742,0.5,14.5,26.9,"9.4",14.5,26.9,10.1,7.7,"FWC"
2013,1,4,29.164933,-83.005733,0.2,14.4,26.6,"10.7",NA,NA,NA,7.4,"FWC"
2013,1,4,29.148166,-83.016266,0.5,14.7,27.7,"8.9",14.7,27.7,8.9,7.5,"FWC"
2013,1,4,29.141316,-83.014983,0.2,14.8,27.4,"9.6",NA,NA,NA,7.6,"FWC"
2013,1,4,29.14165,-83.014983,0.6,14.9,27.5,"9.9",14.9,27.4,10.1,7.5,"FWC"
2013,1,4,29.15815,-83.0212,0.4,15.7,27.2,"9.7",15.7,27.2,9.9,9.7,"FWC"
2013,1,4,29.138283,-83.0264,0.4,15.2,28.2,"9.1",15.2,28.2,9.3,7.5,"FWC"
2013,1,4,29.124333,-83.0243,0.5,15.7,28.1,"9.8",15.7,28.1,9.8,7.6,"FWC"
2013,1,5,29.32805,-83.155533,0.4,17.6,7.2,"9.7",17.6,7,9.8,7.9,"FWC"
2013,1,5,29.3322,-83.149983,0.5,17.4,8.5,"8.9",17.4,8.4,9.1,7.7,"FWC"
2013,1,5,29.328433,-83.16715,0.3,17.5,16.3,"9.2",17.6,16.2,9.7,7.5,"FWC"
2013,1,5,29.328916,-83.175233,1.9,16,28.5,"9.5",16.9,23.7,9.6,7.7,"FWC"
2013,1,5,29.346383,-83.17605,0.6,16.6,26.3,"9.6",16.7,26,9.6,7.7,"FWC"
2013,1,5,29.3599,-83.1821,0.6,16.9,26.9,"9.7",16.9,27,9.7,7.6,"FWC"
2013,1,5,29.36455,-83.190666,0.9,17,27.8,"9.6",17.2,27.8,9.6,7.6,"FWC"
2013,1,5,29.363983,-83.189733,0.9,16.9,27.8,"9.7",17.5,27.7,9.7,7.7,"FWC"
2013,1,5,29.31435,-83.173466,0.9,15.9,29.9,"10.3",16.2,29.6,10.2,7.7,"FWC"
2013,1,6,29.294566,-83.109666,2,18.5,0.3,"8.5",18.5,0.3,8.7,8.6,"FWC"
2013,1,6,29.27385,-83.122366,0.5,17.8,14.8,"9.8",18,11.6,10,7.5,"FWC"
2013,1,6,29.292616,-83.094183,0.5,19,5.2,"8.4",19,5.2,8.5,7.8,"FWC"
2013,1,6,29.26935,-83.107616,1,18.4,5.3,"9.1",18.7,1.1,8.9,7.4,"FWC"
2013,1,6,29.271233,-83.102116,0.9,19,1.1,"8.7",19.1,1.1,8.6,8.2,"FWC"
2013,1,6,29.266416,-83.09035,0.8,19.1,9.1,"9",19.2,8.6,9,7.6,"FWC"
2013,1,6,29.282933,-83.083133,0.8,19.2,3.6,"9",19.2,3.6,8.8,7.9,"FWC"
2013,1,6,29.291516,-83.136433,0.7,19.1,11.2,"9.4",19.1,11.1,9.4,7.6,"FWC"
2013,1,6,29.299533,-83.126516,1.5,19.4,8,"8.3",19.4,8.2,8.3,7.6,"FWC"
2013,1,7,29.1953,-83.08475,0.6,19.3,29.2,"9.1",19.3,29.2,9.1,8.1,"FWC"
2013,1,7,29.213866,-83.086066,0.4,19.2,29.4,"9.2",19.2,29.4,9.2,8.1,"FWC"
2013,1,7,29.215633,-83.087766,0.4,19.3,29.5,"9.4",19.3,29.5,9.6,8,"FWC"
2013,1,7,29.229466,-83.081266,0.8,18.7,27.9,"9.8",19.1,27.6,9.9,8.1,"FWC"
2013,1,7,29.231316,-83.053616,0.5,20.2,25.6,"8.9",20.3,25.7,8.6,7.9,"FWC"
2013,1,7,29.2613,-83.070333,0.6,20.1,21.5,"10.8",20.1,21.5,10.9,7.9,"FWC"
2013,1,7,29.25415,-83.077616,1.2,18.8,23.6,"11",19.4,23.1,11.3,8,"FWC"
2013,1,8,29.312016,-83.198166,0.3,19.6,17.9,"9.2",19.6,17.9,9.2,7.9,"FWC"
2013,1,8,29.308966,-83.20795,2.3,18.5,28.2,"10.1",19,25.5,9.7,8.2,"FWC"
2013,1,8,29.290266,-83.190816,1.7,18.5,29.8,"9.9",19.7,19.3,9.7,8.1,"FWC"
2013,1,8,29.2867,-83.1829,0.4,19.9,21.6,"10.8",19.9,21.6,10.8,8.1,"FWC"
2013,1,8,29.229,-83.173766,2.5,20.1,30.1,"8.4",20.1,30,8.5,8,"FWC"
